Hour_of_Day,Active_Users,Latency_ms,Packet_Loss_Rate,Bandwidth_MHz,Throughput_Demand_Mbps
0,159,24.543010539025556,0.04007466590555377,20,499.11965500126075
1,123,21.689001073892694,0.008515323785872102,40,438.4352787585951
2,112,20.005237877909714,0.020388896883036623,60,474.34466551633204
3,104,20.620836093892237,0.023325438163965227,80,534.6596182753177
4,45,16.894357062923824,0.011610350665165064,60,454.4963629326377
5,24,10.857915685717591,0.11230312735133642,40,196.4511347962432
6,44,16.40164099553683,0.011986260161738909,40,259.96178405876714
7,18,10.236655855306225,0.11093249341670705,60,147.2138882416396
8,9,9.204745575006232,0.019785923998400692,80,298.0352498657645
9,14,13.037189236686427,0.05430110664746027,100,432.0460779745734
10,4,12.243872756015234,0.08702446575317896,100,285.81228518264123
11,19,13.60281987352531,0.013658495561734187,100,483.9962181545513
12,54,12.768405183563718,0.02194496881018289,40,186.44753840363825
13,35,12.568098043855898,0.022558412787773194,60,335.092202283853
14,65,18.145977184006643,0.05251527274732178,40,283.51341678459374
15,114,21.483083681127788,0.06282753046395297,80,569.8640096585513
16,129,20.75261430760507,0.0271331802988903,20,462.44966442926045
17,176,28.516635878250884,0.005383476540880459,40,567.2684421545902
18,168,25.37038548201706,0.015071480114301213,80,840.7017208219893
19,168,30.389049696784426,0.009337833581655177,80,764.696715156625
20,229,35.989682924836515,0.02600526405752957,80,975.1528622968601
21,192,30.408194852711134,0.043906161452999644,20,387.49700557184
22,187,31.422013409539545,0.08063344792857843,100,769.8981994252046
23,142,24.32958270024676,0.02901848761897495,60,562.9736992507118
0,139,25.43087498875003,0.015287296489558455,40,561.5084179444381
1,128,25.755440590604152,0.08239905996914945,20,274.1372464824521
2,76,18.090997363588627,0.06876564816326652,80,451.04319169197356
3,81,17.589625656971435,0.017974059693998384,20,279.68161165931855
4,37,10.290756083645768,0.018012246047648322,40,299.2018131468889
5,23,12.133732948557013,0.024012032679382303,60,270.86415553169564
6,1,11.746846369124622,0.009339976524259648,40,135.23434528729538
7,40,15.89126685513526,0.025766393032175827,20,227.19778921646463
8,0,11.00873013143682,0.007548050956281793,80,432.87543312647665
9,17,10.61740181007552,0.03512769594320723,80,461.95807553576947
10,29,8.94635686210482,0.029296033725624553,100,572.3446683229166
11,4,9.40956980399053,0.09045224891523349,100,358.04877286223996
12,54,14.791310257892098,0.030153169000576744,60,373.6158745504166
13,34,12.774142065619973,0.024966312321935552,60,281.41253693812325
14,73,18.53711271395585,0.024776444434748898,100,669.4406256292657
15,129,26.871352822029678,0.09287460252516905,100,648.7084060138316
16,164,26.647058403682184,0.01215445489068248,40,458.9664848568915
17,174,26.966536421687074,0.0044771989692808985,40,582.2734428657453
18,184,27.881556373991813,0.06857495056113568,80,791.9226475984182
19,190,29.248769533815427,0.028598061915276033,80,719.0503526410962
20,170,25.3434124793032,0.01768611572991644,100,850.375345277917
21,182,28.44039711749211,0.01777105323778187,40,552.6216594373334
22,177,28.6016246726636,0.035223094884818784,100,899.6284988699384
23,191,29.519372127148976,0.06382368822464989,100,752.283615389415
0,156,26.515083868009565,0.03823777440438468,60,655.4811412484931
1,90,19.86749521869707,0.04982502296947185,100,600.1851552615051
2,106,17.056206635507113,0.061353142433415254,80,561.5349204573486
3,66,17.87374031679081,0.01262973525582603,60,459.55296253539836
4,36,12.257970308675093,0.0036203070152159523,40,335.80861112885947
5,41,11.908321673992084,0.03689856851571309,80,444.35095821210547
6,34,11.191096344290008,0.02199087897848438,20,104.3770426819031
7,22,13.067083220945058,0.0795281142468086,40,122.76270969361548
8,16,11.154850145550293,0.008242564803357982,20,167.7523335775068
9,2,6.836062432029178,0.034223177439058144,80,312.8949635899274
10,20,12.956075630384566,0.021386720593019614,40,219.145037325244
11,48,11.920783738402346,0.032787607134567395,20,163.7427514786495
12,40,14.279642717036422,0.06238840674652713,20,147.0155752434242
13,70,17.47699785134611,0.04627130993666312,40,295.48166811975346
14,77,19.47115416339009,0.025882433690735854,100,605.9811544381273
15,101,23.663369572933703,0.010480307210300214,80,569.4884043428358
16,166,23.87064734819892,0.030889078206033597,80,710.2298991745253
17,197,29.5950522878739,0.059150581220811044,60,605.1860816729119
18,185,27.947329409911564,0.027239979131288197,40,604.6677611745095
19,216,32.467499371921924,0.005163066795202413,80,880.3998684795738
20,207,31.131337541867236,0.021552230673519204,20,460.37894924539233
21,183,27.59490751452676,0.04511016965468269,40,536.9187561217051
22,193,28.41819562277829,0.09777033776253598,20,414.1182027917527
23,201,27.867098289631905,0.08990604308755643,40,527.5889405182226
0,149,26.875723164813017,0.045546106552511144,20,367.20828207769114
1,157,26.61840836319906,0.02378379793833448,20,410.13269531949857
2,47,16.535536395590274,0.022993959511288593,40,306.1527010762586
3,90,18.37920772704897,0.02172371280233905,60,466.2838833152326
